LanguageHaveWorkedWith,ConvertedCompYearly,YearsCode,ResponseId,,,ExperienceGroup,N Python,N JS/Java,Mean Python,Mean JS/Java,MeanDiff J minus Py,%Diff J vs Py,T Stat Welch,P Value Two Tailed
C#;Python;SQL,175000,26,34,,,1Ð5 yrs,40,42,108746.125,94552.19048,-14193.93452,-0.130523589,1.295546455,0.200303288
C#;Go;PowerShell;Python;TypeScript,350000,28,132,,,6Ð10 yrs,143,191,126272.3357,122581.5864,-3690.749277,-0.029228487,0.526885971,0.598676378
Bash/Shell (all shells);Python;SQL,185000,15,144,,,11Ð20 yrs,243,442,169421.5638,154082.5633,-15339.00044,-0.090537474,2.481988005,0.013498141
C++;Python,140000,25,209,,,21Ð30 yrs,132,323,202895.9697,168408.7895,-34487.18022,-0.169974693,4.138285331,5.08553E-05
Python;R;SQL,260000,10,229,,,,,,,,,,,
Python;SQL;VBA,60000,10,251,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;PowerShell;Python;Scala,200000,10,345,,,,,,,,,,,
Bash/Shell (all shells);Python;Ruby,310000,27,620,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Python,95000,30,640,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Kotlin;Python,220000,12,690,,,,,,,,,,,
Bash/Shell (all shells);C++;MicroPython;Python;Rust,150000,23,819,,,,,,,,,,,
Bash/Shell (all shells);Kotlin;PowerShell;Python;SQL,240000,2,837,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Python,190000,25,878,,,,,,,,,,,
C#;C++;Python,48000,24,914,,,,,,,,,,,
Bash/Shell (all shells);Go;Python;SQL,300000,30,963,,,,,,,,,,,
Bash/Shell (all shells);PowerShell;Python;SQL,190000,8,1018,,,,,,,,,,,
Bash/Shell (all shells);COBOL;HTML/CSS;Perl;Python;SQL,150000,25,1024,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Python;SQL;TypeScript;Gleam,175000,20,1081,,,,,,,,,,,
C;HTML/CSS;Python;SQL,47840,12,1094,,,,,,,,,,,
Bash/Shell (all shells);Fortran;GDScript;Lisp;Python;Rust;SQL,129000,7,1164,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Python;R;SQL,70000,4,1178,,,,,,,,,,,
C;C++;Fortran;Go;Perl;Python,240000,21,1212,,,,,,,,,,,
C++;Python;Rust,340000,25,1220,,,,,,,,,,,
Bash/Shell (all shells);C++;Go;Perl;Python,300000,28,1239,,,,,,,,,,,
Bash/Shell (all shells);Go;Groovy;HTML/CSS;PowerShell;Python;Scala;SQL;TypeScript,210000,28,1244,,,,,,,,,,,
Go;Python,380000,21,1259,,,,,,,,,,,
Python;R;SQL;VBA,71000,3,1264,,,,,,,,,,,
C#;HTML/CSS;Python;TypeScript,225000,25,1269,,,,,,,,,,,
Bash/Shell (all shells);Perl;PHP;PowerShell;Python;SQL,200000,16,1289,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C++;Lua;PowerShell;Python,190000,15,1320,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Groovy;MATLAB;Python,93800,5,1391,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;HTML/CSS;Lua;PowerShell;Python;Rust,187000,28,1411,,,,,,,,,,,
Ada;Assembly;Bash/Shell (all shells);C;C++;Delphi;Elixir;Erlang;F#;MATLAB;MicroPython;OCaml,130000,10,1459,,,,,,,,,,,
Bash/Shell (all shells);C;HTML/CSS;Lua;MATLAB;Python,64000,14,1472,,,,,,,,,,,
C;C++;HTML/CSS;Kotlin;Python;Swift,100000,30,1528,,,,,,,,,,,
C++;PowerShell;Python,120000,10,1579,,,,,,,,,,,
Bash/Shell (all shells);Go;Kotlin;PowerShell;Python;SQL;VBA;Visual Basic (.Net),157000,9,1633,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;PHP;PowerShell;Python;SQL;VBA,200000,30,1850,,,,,,,,,,,
Bash/Shell (all shells);C#;PowerShell;Python;SQL,92000,9,1935,,,,,,,,,,,
Bash/Shell (all shells);C#;PowerShell;Python;SQL,183000,30,1957,,,,,,,,,,,
Bash/Shell (all shells);Groovy;HTML/CSS;Perl;Python;R;Ruby;SQL,194000,27,2034,,,,,,,,,,,
Bash/Shell (all shells);C;C++;HTML/CSS;Python;SQL;TypeScript,210000,28,2038,,,,,,,,,,,
Bash/Shell (all shells);Go;Python;R;Rust;Scala;SQL,176131,16,2068,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Python,165000,14,2115,,,,,,,,,,,
Bash/Shell (all shells);Python;SQL;TypeScript,235000,12,2160,,,,,,,,,,,
Python;SQL;TypeScript,230000,11,2182,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Dart;HTML/CSS;MATLAB;Python,130000,8,2191,,,,,,,,,,,
Bash/Shell (all shells);C++;Python,183500,27,2223,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Lua;Python;Rust;SQL;TypeScript;Gleam,136000,12,2228,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Python;Rust,170000,20,2286,,,,,,,,,,,
Bash/Shell (all shells);C;Go;Python,140000,16,2309,,,,,,,,,,,
C++;Python;Rust;TypeScript,200090,11,2322,,,,,,,,,,,
C#;HTML/CSS;Perl;PHP;PowerShell;Python;R;Rust;SQL;Swift;TypeScript,100000,28,2338,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Go;Python;Rust,300000,10,2400,,,,,,,,,,,
Bash/Shell (all shells);Python;SQL;VBA,43280,8,2454,,,,,,,,,,,
C++;MATLAB;Python,235000,18,2482,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Fortran;MATLAB;Python;SQL,130000,9,2484,,,,,,,,,,,
Python,150000,21,2487,,,,,,,,,,,
C;C++;Python;SQL,135000,28,2552,,,,,,,,,,,
Python;R,155000,17,2562,,,,,,,,,,,
C;C++;MATLAB;Python,165000,10,2634,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Python;R;SQL;VBA,150000,8,2681,,,,,,,,,,,
HTML/CSS;Lua;Python;Rust,38000,20,2709,,,,,,,,,,,
C#;Python;TypeScript,100000,9,2749,,,,,,,,,,,
Python;R;SQL,200000,13,2755,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Python;SQL,143000,28,2785,,,,,,,,,,,
Python;Ruby;Rust;SQL,104000,17,2792,,,,,,,,,,,
Bash/Shell (all shells);Python,135000,12,2806,,,,,,,,,,,
Python;R;SQL,85000,5,2811,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;C++;Go;Lua;Python;Rust,400000,30,2822,,,,,,,,,,,
Bash/Shell (all shells);C#;C++;Lisp;Python;Ruby;Rust,125000,30,2887,,,,,,,,,,,
Bash/Shell (all shells);Python;R;SQL,200000,15,3008,,,,,,,,,,,
C;C++;HTML/CSS;MicroPython;PowerShell;Python;SQL,70000,8,3009,,,,,,,,,,,
Python;R;SQL;VBA,210000,9,3072,,,,,,,,,,,
Assembly;C;Go;HTML/CSS;Python;SQL,49000,8,3143,,,,,,,,,,,
HTML/CSS;PowerShell;Python;TypeScript,182000,23,3166,,,,,,,,,,,
Bash/Shell (all shells);C#;C++;GDScript;Python,130000,21,3190,,,,,,,,,,,
Bash/Shell (all shells);Delphi;HTML/CSS;Python,30000,15,3292,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Lua;PowerShell;Python;R;SQL,153745,5,3385,,,,,,,,,,,
Bash/Shell (all shells);C#;PowerShell;Python;SQL,85000,7,3396,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Python;Rust;SQL;VBA,116000,16,3405,,,,,,,,,,,
Bash/Shell (all shells);Groovy;Python;R;Rust;SQL,95000,9,3478,,,,,,,,,,,
Bash/Shell (all shells);C#;Python;SQL,160000,7,3485,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Python;SQL,200000,28,3537,,,,,,,,,,,
